Partner,Dependents,tenure,ContractType,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizenCat,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Mailed check
0,0,43,1,1,75.35,3161.4,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
0,1,1,1,0,25.4,25.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,72,0,0,105.6,7581.5,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,1,4,1,1,57.2,223.75,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1
1,1,44,1,0,19.6,780.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,19.85,19.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,52,0,1,109.3,5731.4,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
1,0,66,0,0,66.9,4370.25,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0
1,0,51,0,1,90.35,4614.55,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
1,1,13,0,1,64.75,877.35,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,1,2,1,1,55.3,108.65,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,72,0,1,84.1,6129.65,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
0,0,41,1,1,55.7,2237.55,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
1,1,65,1,1,85.75,5688.45,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
1,1,4,0,0,24.1,73.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,25.25,25.25,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,3,1,1,19.9,45.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,1,0,20.05,33.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,8,1,1,65.5,573.15,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0
1,0,71,0,1,105.25,7291.75,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1,1,43,0,1,91.25,4013.8,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
0,0,51,0,1,24.6,1266.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,3,1,1,19.65,68.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,26,1,0,45.45,1233.15,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,1,1,1,0,49.9,49.9,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
0,0,4,1,0,48.25,202.25,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1
0,1,9,0,0,20.1,190.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,64,0,1,94.6,5948.7,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
1,1,41,0,1,78.35,3211.2,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
1,1,4,1,1,19.95,82.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,55,1,0,85.5,4713.4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
0,0,4,1,1,19.85,63.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,64,0,1,96.9,6314.35,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1
1,1,27,1,1,54.75,1510.3,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
1,1,35,0,0,20.05,746.75,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,35,0,0,20.1,655.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,70,0,1,111.15,7737.55,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,0,36,0,0,85.85,3003.55,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,72,0,1,112.6,8126.65,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1,44,0,0,94.4,4295.35,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
0,0,1,1,0,19.3,19.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,72,0,1,61.2,4390.25,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0
1,1,71,0,0,64.05,4492.9,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
0,0,26,1,1,98.65,2537.0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1,1,68,0,1,105.25,7173.15,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
1,0,72,0,0,109.7,7898.45,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
0,0,18,1,0,19.25,331.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,42,0,0,97.1,4016.75,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
1,1,8,1,1,45.45,411.75,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,2,1,1,45.85,105.6,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,56,0,0,103.2,5744.35,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
1,0,71,0,0,25.0,1753.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,53,0,0,19.55,1007.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,28,1,0,64.45,1867.6,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,14,0,0,44.6,641.25,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,21,1,1,99.15,1956.4,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
0,0,17,0,0,19.15,343.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,72,0,1,108.95,7875.0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
0,1,7,1,1,45.75,344.2,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,1,65,0,0,45.25,2933.95,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
0,0,11,1,0,76.4,838.7,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,70,0,0,89.75,6367.2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
0,1,28,0,1,54.4,1516.6,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
0,0,62,0,1,43.6,2748.7,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0
1,1,32,1,1,93.95,2861.45,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
0,0,52,1,1,103.05,5364.8,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,1,69,0,0,73.7,4885.85,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
0,0,3,1,1,80.5,232.35,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,71,0,0,81.85,5924.4,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
0,0,9,1,0,19.7,180.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,30,1,1,74.75,2111.3,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0
1,1,64,0,0,19.8,1336.65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,59,0,1,111.1,6555.2,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
1,1,52,0,0,44.25,2276.1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
1,1,18,0,0,20.05,345.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,12,0,1,24.0,269.65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,60,0,0,59.85,3590.2,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0
0,1,3,1,0,55.9,157.55,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1,1,7,1,0,44.75,333.65,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,34,1,0,20.8,635.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,1,0,25.25,101.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7,1,0,23.5,173.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,10,1,0,40.7,449.3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
0,0,2,1,1,44.3,89.3,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,21,1,1,43.55,1011.5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
0,0,29,1,0,67.45,1801.1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1
0,0,35,0,0,20.6,754.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,9,1,0,64.95,547.8,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
0,1,22,0,1,49.45,1031.4,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,0,8,1,0,44.45,369.3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,27,1,0,95.0,2462.55,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
1,0,45,1,1,107.75,4882.8,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,54,0,1,20.5,1035.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,69,0,1,19.3,1447.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,62,0,0,20.05,1263.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,7,1,1,74.9,490.55,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
0,0,29,1,1,74.2,1993.25,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,72,0,1,116.05,8404.9,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,53,0,1,73.9,3958.25,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
1,1,67,0,1,24.9,1680.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,54,1,0,89.4,4869.5,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
1,1,72,0,1,74.35,5237.4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
1,1,13,1,0,61.8,750.1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
0,0,68,0,1,82.45,5646.6,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
1,0,4,1,1,29.05,129.6,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
1,1,69,0,1,79.2,5420.65,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
1,1,64,0,1,53.85,3399.85,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1,23,0,0,40.65,947.4,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
1,0,7,1,1,75.4,533.05,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,71,1,1,93.25,6669.45,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,26,1,0,20.9,518.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,20.3,20.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,69,1,1,85.4,5869.4,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
1,0,17,0,0,64.8,1175.6,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
0,0,32,1,1,93.4,2979.3,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
1,1,72,0,0,103.95,7517.7,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,72,0,1,111.65,8022.85,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
1,0,42,0,0,84.35,3571.6,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
1,1,43,0,1,79.15,3566.6,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
1,0,71,0,1,104.1,7412.25,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
1,1,72,0,0,24.3,1643.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,25,1,1,74.6,1797.75,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,0,37,1,1,90.35,3419.3,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1,1,31,1,1,20.65,702.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,0,20.05,415.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,49,0,1,35.8,1782.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
0,0,35,1,1,62.1,2096.1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,1,8,1,0,20.05,163.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,53,0,1,93.45,4872.2,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
1,1,24,0,1,52.5,1208.15,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
0,1,70,0,1,114.6,7882.5,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,56,1,1,106.6,5893.95,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
1,1,28,0,0,92.9,2768.35,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1,1,49,1,1,95.4,4613.95,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
0,0,1,1,1,20.45,20.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,61,1,0,94.15,5731.85,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0
0,0,24,1,1,84.85,2048.8,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,41,1,1,25.25,996.45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,3,1,0,18.8,56.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,19.95,19.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,14,1,1,31.1,419.7,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0,0,46,0,0,33.7,1537.85,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
1,1,58,0,0,71.6,4230.25,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
0,1,41,0,0,70.2,2894.55,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1
0,1,1,1,1,49.9,49.9,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,0,61,0,1,103.95,6423.0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,1,12,0,0,33.15,444.75,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
1,0,71,0,1,25.95,1801.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,50,0,1,44.45,2188.45,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,0,20,0,1,91.0,1859.5,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
0,0,22,0,0,20.3,475.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,72,0,1,104.9,7559.55,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
1,1,65,0,0,109.3,7337.55,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
1,0,69,0,1,107.2,7317.1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1,16,1,1,35.5,552.7,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,0,70,0,1,92.2,6474.45,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,4,1,0,44.8,169.65,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,18,1,1,73.15,1305.95,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,1,71,0,0,19.8,1396.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,22,1,1,20.05,470.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,23,0,1,91.1,2198.3,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
1,1,33,0,1,79.15,2531.4,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
1,1,68,0,0,62.65,4375.8,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
1,1,71,0,0,89.9,6457.15,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
1,0,61,0,1,79.8,4914.8,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
0,1,34,0,1,103.8,3470.8,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
1,0,59,0,1,100.05,6034.85,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
0,0,11,1,0,34.7,383.55,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1,1,13,1,1,72.8,930.05,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0
1,1,29,0,0,26.1,692.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,38,0,0,19.6,763.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,24,0,0,19.7,452.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,22,1,1,63.55,1381.8,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1
0,0,1,1,0,45.6,45.6,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,49,0,1,106.65,5168.1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
0,0,21,1,0,103.85,2215.0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1
1,0,3,1,1,23.6,89.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,1,1,55.3,501.2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1
1,1,16,0,0,19.7,301.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,65,1,0,94.4,6126.15,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,63,0,0,98.0,6218.45,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
1,1,46,0,0,20.25,890.35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,72,0,1,19.8,1468.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,56,1,1,96.85,5219.65,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
1,0,31,0,1,79.3,2484.0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
1,1,72,0,0,20.35,1354.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,32,1,0,54.65,1830.1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
0,0,6,1,0,59.45,357.6,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
1,1,72,0,1,104.1,7447.7,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
0,0,69,0,0,74.1,5031.0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
0,0,2,1,1,69.8,146.65,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,51,0,1,98.85,4947.55,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
0,0,19,1,1,56.2,1093.4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,26,1,1,54.75,1406.9,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0,0,24,1,1,49.7,1218.25,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1,1,63,0,1,91.35,5764.7,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
1,1,68,0,1,101.05,6770.5,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
1,0,70,0,1,84.8,5917.55,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
0,0,1,1,0,20.65,20.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,72,0,0,84.3,5997.1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
0,0,47,0,1,20.55,945.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,50,0,1,43.05,2208.05,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
0,0,66,0,0,19.35,1240.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,45,1,1,93.9,4200.25,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
1,1,6,1,0,19.85,138.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,24,1,1,89.55,2259.35,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
1,1,66,0,1,116.25,7862.25,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,1,46,0,0,81.0,3846.35,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
1,0,33,1,1,93.35,3092.0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
0,0,10,0,0,20.35,176.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,27,1,1,53.8,1389.85,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,1,51,0,1,95.15,5000.05,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
1,1,64,0,1,60.05,3845.45,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
0,1,21,1,0,20.75,452.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7,1,1,53.65,404.35,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
0,0,5,1,0,19.95,109.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6,0,1,49.25,255.6,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,71,0,0,19.85,1379.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,6,0,0,19.7,94.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7,1,1,25.05,152.95,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,64,1,1,94.25,6081.4,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,71,0,0,65.15,4681.75,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0
0,1,66,0,1,79.5,5196.1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
1,0,55,0,0,60.0,3316.1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0
0,0,26,0,0,75.0,1908.35,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,0,33,0,1,53.75,1857.3,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
0,0,10,1,1,75.75,777.3,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1
1,1,40,1,1,20.4,745.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,20.45,20.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,64,0,0,80.3,5017.7,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0
1,0,72,0,0,24.85,1871.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,4,1,1,29.15,110.05,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
1,0,37,0,0,19.6,727.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,29,1,1,75.3,2263.4,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
1,1,71,0,0,89.9,6342.7,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
0,1,39,0,0,54.85,2191.7,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
1,1,16,1,1,90.8,1442.2,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
1,1,64,0,1,111.6,7099.0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
1,0,68,0,1,24.95,1614.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,71,0,1,106.75,7283.25,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,14,1,0,50.45,765.45,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,0,31,1,0,104.35,3205.6,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
0,0,47,1,1,86.05,3865.6,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
1,0,23,1,1,90.45,2117.25,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,72,0,1,108.4,7719.5,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
0,0,36,0,0,54.45,1893.5,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
1,1,56,0,0,65.2,3512.15,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
1,0,72,0,0,24.8,1874.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2,1,1,84.05,134.05,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,63,0,0,79.8,5034.05,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
1,0,44,1,1,84.8,3626.35,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
1,1,16,1,1,112.95,1882.55,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
0,0,42,0,1,19.55,839.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,29,0,0,19.4,554.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,22,0,0,25.25,566.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,69,0,1,114.35,7665.8,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,34,1,0,20.35,673.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,47,0,0,63.8,3007.25,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
0,0,1,1,1,44.9,44.9,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,33,0,1,24.9,847.8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,46,1,0,55.0,2473.95,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
1,1,13,0,1,19.75,246.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,20,1,1,81.45,1671.6,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,7,1,1,64.95,493.65,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0
0,0,23,0,1,73.75,1756.6,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,48,0,1,65.65,3094.65,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0
1,0,71,0,0,93.2,6506.15,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
1,1,65,0,1,79.4,5071.9,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0
1,0,65,0,0,76.15,4929.55,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
1,1,63,0,0,19.55,1245.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,59,1,1,96.65,5580.8,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
1,0,70,0,1,113.0,7987.6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
